application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,residential_address,applicant_age,gender,number_of_dependents,loan_status,fraud_flag,fraud_type
c8bf0bea-70e6-4870-9125-41b8210c527f,CUST109427,2023-04-09,Business Loan,604000.0,12,11.66,Medical Emergency,Retired,34700.0,714,1100.0,3.17,Rented,"94/31, Sehgal Zila, Vadodara-380521, Anantapur, Uttarakhand, 918055",28,Female,3,Approved,0,
91224cec-3544-4bc7-ac15-a9792da54c02,CUST106146,2023-09-23,Car Loan,100000.0,240,13.62,Education,Unemployed,51600.0,667,0.0,0.0,Owned,"H.No. 00, Sheth Chowk, Ichalkaranji 006728, Imphal, Himachal Pradesh, 909564",44,Other,3,Approved,0,
4efcd02d-4a03-4ab7-9bd1-0ff430493d0c,CUST100674,2023-05-22,Education Loan,431000.0,60,11.4,Medical Emergency,Self-Employed,14800.0,808,4600.0,31.08,Rented,"H.No. 81, Dutta Path, Kozhikode-340301, Tadepalligudem, Kerala, 797564",56,Other,4,Approved,0,
a61337d4-ba04-4a68-b492-2cb8266e6ed7,CUST106466,2024-07-09,Car Loan,324000.0,120,10.36,Debt Consolidation,Self-Employed,28800.0,647,4000.0,13.89,Rented,"H.No. 022, Rege Road, Tiruvottiyur-927857, Aurangabad, Odisha, 097184",27,Other,4,Declined,0,
a8d1639e-170b-41b2-826a-55c7dae38d16,CUST112319,2023-11-20,Personal Loan,100000.0,36,14.14,Business Expansion,Salaried,43900.0,624,1100.0,2.51,Rented,"85/24, Bali Zila, Sambalpur 922071, Tumkur, Kerala, 775386",50,Other,0,Declined,0,
d91cf990-efa1-44ad-94bf-44e6c79d1051,CUST116153,2025-02-19,Business Loan,1164000.0,24,9.83,Wedding,Self-Employed,72700.0,710,3300.0,4.54,Jointly Owned,"977, Sami Nagar, Jalgaon-061357, Giridih, Assam, 422991",25,Male,4,Approved,0,
cd837d7e-98de-4d26-8b6f-f59d7bef9d2a,CUST118841,2023-02-02,Personal Loan,220000.0,36,8.71,Vehicle Purchase,Unemployed,47300.0,768,6700.0,14.16,Rented,"805, Bhakta Path, Thiruvananthapuram-330918, Kota, Telangana, 467846",46,Male,1,Approved,0,
63e87083-c21d-4b53-856b-b58b3285b9aa,CUST109691,2022-11-05,Home Loan,475000.0,60,12.87,Home Renovation,Unemployed,42500.0,677,2200.0,5.18,Owned,"78/019, Brahmbhatt Zila, Mirzapur-102193, Mumbai, Bihar, 887764",31,Male,1,Approved,0,
7eb31cc3-e1e7-4ef9-ae4e-b86771d60119,CUST106322,2025-05-11,Personal Loan,106000.0,120,10.22,Business Expansion,Business Owner,40300.0,723,4500.0,11.17,Owned,"65, Dani Path, Tirunelveli 460530, Jalna, Uttarakhand, 376197",42,Female,4,Approved,0,
74126982-ef72-40dd-8cc3-5d441cfe7b02,CUST102418,2023-04-29,Home Loan,768000.0,240,7.46,Debt Consolidation,Student,59800.0,707,5400.0,9.03,Jointly Owned,"01/281, Dhawan, Delhi 129520, Ambala, Bihar, 414656",51,Male,1,Approved,0,
2cdc104f-abbf-4f8d-b9c1-2e073ed17bb7,CUST101535,2024-10-19,Education Loan,395000.0,12,8.33,Debt Consolidation,Salaried,10100.0,696,0.0,0.0,Jointly Owned,"46/02, Buch Zila, Chinsurah-642812, Buxar, Mizoram, 620749",40,Male,4,Approved,0,
0e6ce97f-296f-41e7-88a5-0a4951e4262d,CUST101333,2023-11-09,Home Loan,256000.0,120,8.86,Medical Emergency,Unemployed,87300.0,747,1600.0,1.83,Rented,"72, Sandal Nagar, Machilipatnam 027510, Raurkela Industrial Township, Telangana, 870690",63,Male,1,Approved,0,
e0b509dc-5357-427d-bd69-681308a68efc,CUST106264,2024-08-31,Education Loan,745000.0,12,9.78,Debt Consolidation,Self-Employed,35000.0,619,0.0,0.0,Rented,"H.No. 75, Contractor Ganj, Bhiwandi-559674, Siliguri, Tripura, 202474",61,Female,1,Declined,0,
